tweet_id,jpg_url,img_num,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,retweet_count,favorite_count
666020888022790149,https://pbs.twimg.com/media/CT4udn0WwAA0aMy.jpg,1,Welsh_springer_spaniel,46.51,True,collie,15.67,True,Shetland_sheepdog,6.14,True,532.0,2535.0
666029285002620928,https://pbs.twimg.com/media/CT42GRgUYAA5iDo.jpg,1,redbone,50.68,True,miniature_pinscher,7.42,True,Rhodesian_ridgeback,7.2,True,48.0,132.0
666033412701032449,https://pbs.twimg.com/media/CT4521TWwAEvMyu.jpg,1,German_shepherd,59.65,True,malinois,13.86,True,bloodhound,11.62,True,47.0,128.0
666044226329800704,https://pbs.twimg.com/media/CT5Dr8HUEAA-lEu.jpg,1,Rhodesian_ridgeback,40.81,True,redbone,36.07,True,miniature_pinscher,22.28,True,147.0,311.0
666049248165822465,https://pbs.twimg.com/media/CT5IQmsXIAAKY4A.jpg,1,miniature_pinscher,56.03,True,Rottweiler,24.37,True,Doberman,15.46,True,41.0,111.0
666050758794694657,https://pbs.twimg.com/media/CT5Jof1WUAEuVxN.jpg,1,Bernese_mountain_dog,65.11,True,English_springer,26.38,True,Greater_Swiss_Mountain_dog,1.62,True,60.0,136.0
666051853826850816,https://pbs.twimg.com/media/CT5KoJ1WoAAJash.jpg,1,box_turtle,93.3,False,mud_turtle,4.59,False,terrapin,1.79,False,879.0,1253.0
666055525042405380,https://pbs.twimg.com/media/CT5N9tpXIAAifs1.jpg,1,chow,69.25,True,Tibetan_mastiff,5.83,True,fur_coat,5.44,False,261.0,448.0
666057090499244032,https://pbs.twimg.com/media/CT5PY90WoAAQGLo.jpg,1,shopping_cart,96.25,False,shopping_basket,1.46,False,golden_retriever,0.8,True,146.0,304.0
666058600524156928,https://pbs.twimg.com/media/CT5Qw94XAAA_2dP.jpg,1,miniature_poodle,20.15,True,komondor,19.23,True,soft-coated_wheaten_terrier,8.21,True,61.0,115.0
666063827256086533,https://pbs.twimg.com/media/CT5Vg_wXIAAXfnj.jpg,1,golden_retriever,77.59,True,Tibetan_mastiff,9.37,True,Labrador_retriever,7.24,True,232.0,496.0
666071193221509120,https://pbs.twimg.com/media/CT5cN_3WEAAlOoZ.jpg,1,Gordon_setter,50.37,True,Yorkshire_terrier,17.42,True,Pekinese,10.95,True,67.0,154.0
666073100786774016,https://pbs.twimg.com/media/CT5d9DZXAAALcwe.jpg,1,Walker_hound,26.09,True,English_foxhound,17.54,True,Ibizan_hound,9.75,True,174.0,335.0
666082916733198337,https://pbs.twimg.com/media/CT5m4VGWEAAtKc8.jpg,1,pug,48.98,True,bull_mastiff,40.47,True,French_bulldog,4.9,True,47.0,121.0
666094000022159362,https://pbs.twimg.com/media/CT5w9gUW4AAsBNN.jpg,1,bloodhound,19.52,True,German_shepherd,7.83,True,malinois,7.56,True,79.0,169.0
666099513787052032,https://pbs.twimg.com/media/CT51-JJUEAA6hV8.jpg,1,Lhasa,58.23,True,Shih-Tzu,16.62,True,Dandie_Dinmont,8.97,True,73.0,164.0
666102155909144576,https://pbs.twimg.com/media/CT54YGiWUAEZnoK.jpg,1,English_setter,29.86,True,Newfoundland,14.98,True,borzoi,13.36,True,16.0,81.0
666104133288665088,https://pbs.twimg.com/media/CT56LSZWoAAlJj2.jpg,1,hen,96.59,False,cock,3.39,False,partridge,0.01,False,6871.0,14765.0
666268910803644416,https://pbs.twimg.com/media/CT8QCd1WEAADXws.jpg,1,desktop_computer,8.65,False,desk,8.55,False,bookcase,7.95,False,37.0,108.0
666273097616637952,https://pbs.twimg.com/media/CT8T1mtUwAA3aqm.jpg,1,Italian_greyhound,17.61,True,toy_terrier,11.19,True,basenji,11.12,True,82.0,184.0
666287406224695296,https://pbs.twimg.com/media/CT8g3BpUEAAuFjg.jpg,1,Maltese_dog,85.75,True,toy_poodle,6.31,True,miniature_poodle,2.56,True,71.0,152.0
666293911632134144,https://pbs.twimg.com/media/CT8mx7KW4AEQu8N.jpg,1,three-toed_sloth,91.47,False,otter,1.52,False,great_grey_owl,1.32,False,368.0,522.0
666337882303524864,https://pbs.twimg.com/media/CT9OwFIWEAMuRje.jpg,1,ox,41.67,False,Newfoundland,27.84,True,groenendael,10.26,True,96.0,204.0
666345417576210432,https://pbs.twimg.com/media/CT9Vn7PWoAA_ZCM.jpg,1,golden_retriever,85.87,True,Chesapeake_Bay_retriever,5.48,True,Labrador_retriever,1.42,True,146.0,307.0
666353288456101888,https://pbs.twimg.com/media/CT9cx0tUEAAhNN_.jpg,1,malamute,33.69,True,Siberian_husky,14.77,True,Eskimo_dog,9.34,True,77.0,229.0
666362758909284353,https://pbs.twimg.com/media/CT9lXGsUcAAyUFt.jpg,1,guinea_pig,99.65,False,skunk,0.24,False,hamster,0.05,False,595.0,804.0
666373753744588802,https://pbs.twimg.com/media/CT9vZEYWUAAlZ05.jpg,1,soft-coated_wheaten_terrier,32.65,True,Afghan_hound,25.96,True,briard,20.68,True,100.0,194.0
666396247373291520,https://pbs.twimg.com/media/CT-D2ZHWIAA3gK1.jpg,1,Chihuahua,97.81,True,toy_terrier,0.94,True,papillon,0.46,True,92.0,172.0
666407126856765440,https://pbs.twimg.com/media/CT-NvwmW4AAugGZ.jpg,1,black-and-tan_coonhound,52.91,True,bloodhound,24.42,True,flat-coated_retriever,17.38,True,44.0,113.0
666411507551481857,https://pbs.twimg.com/media/CT-RugiWIAELEaq.jpg,1,coho,40.46,False,barracouta,27.15,False,gar,18.99,False,339.0,459.0
666418789513326592,https://pbs.twimg.com/media/CT-YWb7U8AA7QnN.jpg,1,toy_terrier,14.97,True,papillon,14.83,True,Chihuahua,14.29,True,48.0,129.0
666421158376562688,https://pbs.twimg.com/media/CT-aggCXAAIMfT3.jpg,1,Blenheim_spaniel,90.68,True,cocker_spaniel,9.03,True,Shih-Tzu,0.11,True,118.0,327.0
666428276349472768,https://pbs.twimg.com/media/CT-g-0DUwAEQdSn.jpg,1,Pembroke,37.14,True,chow,24.94,True,Pomeranian,24.19,True,90.0,171.0
666430724426358785,https://pbs.twimg.com/media/CT-jNYqW4AAPi2M.jpg,1,llama,50.52,False,Irish_terrier,10.41,True,dingo,6.21,False,204.0,330.0
666435652385423360,https://pbs.twimg.com/media/CT-nsTQWEAEkyDn.jpg,1,Chesapeake_Bay_retriever,18.41,True,chain_saw,5.68,False,power_drill,3.68,False,54.0,170.0
666437273139982337,https://pbs.twimg.com/media/CT-pKmRWIAAxUWj.jpg,1,Chihuahua,67.19,True,beagle,12.47,True,Saluki,4.41,True,52.0,131.0
666447344410484738,https://pbs.twimg.com/media/CT-yU5QWwAEjLX5.jpg,1,curly-coated_retriever,32.21,True,giant_schnauzer,28.8,True,Labrador_retriever,16.63,True,23.0,107.0
